,title,subtitle,link
49,SIGNING OFF,Charlie Adam RETIRES with touching clip of him signing for Gers as a teenager,https://www.thesun.co.uk/sport/19875218/charlie-adam-retires-emotional-instagram-post-signing-rangers/
50,WAYNE'S WORLD,Rooney praised by Neville after subbing player accused of making racist slur,https://www.thesun.co.uk/sport/19858741/wayne-rooney-phil-neville-racism-inter-miami-dc-united/
51,CRITICAL MASS,Watch Allegri given POLICE ESCORT back to his car after Juventus’ shock loss,https://www.thesun.co.uk/sport/19851895/allegri-juventus-monza-loss-fans/
52,COMING TU GET YOU,Thomas Tuchel linked with Bayern as pressure grows on Nagelsmann,https://www.thesun.co.uk/sport/19852853/chelsea-tuchel-bayern-nagelsmann/
53,OH MAN,Man Utd overpaid by £210m on transfers in last decade - more than any other club,https://www.thesun.co.uk/sport/19860400/man-utd-overpaid-transfers-arsenal-chelsea/
54,RALF RAGE,Ralf Rangnick ‘furious with Man Utd’ as club dithered over Julian Alvarez swoop,https://www.thesun.co.uk/sport/19874578/ralf-rangnick-man-utd-anger-julian-alvarez-transfer/
55,HEY JUDE,Utd legend Bryan Robson reveals regret over club failing to sign Jude Bellingham,https://www.thesun.co.uk/sport/19856421/man-utd-jude-bellingham-transfer-borussia-dortmund-bryan-robson/
56,GRIEZ LIGHTNING,Man Utd 'eye up Griezmann' as Atletico's row with Barca could force exit,https://www.thesun.co.uk/sport/19834533/man-utd-antoine-griezmann-atletico-madrid-barcelona/
57,KAN'T STOP US,Nottingham Forest secure 23RD transfer as Adnan Kanuric joins after deadline,https://www.thesun.co.uk/sport/19869084/nottingham-forest-confirm-23rd-signing-kanuric/
58,FOOTBALL LATEST,Chelsea AXE senior exec TWO WEEKS into job as X-rated texts leaked,https://www.thesun.co.uk/sport/19814752/football-news-live-chelsea-sack-executive-x-rated-texts-rudiger/
59,UNITED NEWS,"Ten Hag eyeing Goncalo Ramos, Bruno Fernandes 'angry' he couldn't join Spurs",https://www.thesun.co.uk/sport/19792898/man-utd-news-live-erik-ten-hag-goncalo-ramos-transfer-bruno-fernandes/
60,ARSENAL NEWS,"Gunners 'contact' Frankfurt star Lindstrom, Jack Grealish BOOST",https://www.thesun.co.uk/sport/19814736/arsenal-news-live-lindstrom-jack-grealish-smith-rowe-odegaard/
61,KARREN BRADY,Potter may be unassuming… but new Chelsea boss’ football will never be boring,https://www.thesun.co.uk/sport/19833053/graham-potter-chelsea-rob-page-wales-karren-brady/
62,MARK IRWIN,Diego Costa is only man who can make Wolves interesting... expect full-on lunacy,https://www.thesun.co.uk/sport/football/19823135/diego-costa-wolves-man-city/
63,DAVE KIDD,Why Leicester axing Brendan Rodgers would deliver HUGE blow to 'Big Six' wannabes,https://www.thesun.co.uk/sport/19858073/leicester-brendan-rodgers-sack-future-mistake-comment/
64,FRENCH 'N FANCY,Wanda’s spending in Paris revealed as she ‘racks up £440k-A-MONTH in bills',https://www.thesun.co.uk/sport/19867256/wanda-nara-spending-revealed-440000-month/
65,JEFF'S STERLING,"Jeff Stelling celebrates latest big horse win as earnings hit £44,500",https://www.thesun.co.uk/sport/horseracing/19874782/jeff-stelling-celebrates-racehorse-win-organdi/
66,SIDE HUSTLE,Sidemen tie SOLD OUT at The Valley as YouTubers prove bigger draw than Charlton,https://www.thesun.co.uk/sport/19873071/sidemen-charity-match-charlton-more-fans/
67,MARCO BURBERRY,Marco Materazzi shows off £450 Burberry top on World Cup trophy tour,https://www.thesun.co.uk/sport/19868383/materazzi-450-burberry-world-cup-tour/
68,LAGER TOPS,Scottish football team's strip features giant pint of Tennent's Lager,https://www.thesun.co.uk/sport/19853137/scottish-football-team-strip-pint-tennents/
69,BARGAIN AISLE,The 10 best Dream Team assets who can still be recruited for less than £4m,https://www.thesun.co.uk/sport/football/dream-team/19874996/fantasy-football-premier-league-bargains-arsenal-newcastle/
70,MANAGER OF THE MONTH,Win a PlayStation 5 in September with Dream Team's monthly competition,https://www.thesun.co.uk/sport/football/dream-team/19386366/monthly-prizes-fantasy-football-premier-league-playstation/
71,GET IN MY SON!,Son Heung-min kickstarts his Dream Team campaign with 13-minute hat-trick,https://www.thesun.co.uk/sport/football/dream-team/19866821/son-heung-min-hat-trick-fantasy-football-leicester/
